UnitID,Group,CellType,FR_Before,FR_After,Lower_CI,Upper_CI,ResponseType
cid235,Pvalb,RS,2.94222222222222,3.65277777777778,0.710555555555556,0.710555555555556,Increased
cid255,Pvalb,RS,0.0805555555555556,0.106666666666667,0.0261111111111111,0.0261111111111111,Increased
cid259,Pvalb,RS,0.0344444444444444,0.0394444444444444,0.005,0.005,Increased
cid261,Pvalb,RS,0.0472222222222222,0.0577777777777778,0.0105555555555556,0.0105555555555556,Increased
cid263,Pvalb,RS,0.0461111111111111,0.07,0.0238888888888889,0.0238888888888889,Increased
cid266,Pvalb,RS,0.0194444444444444,0.0194444444444444,0,0,No Change
cid274,Pvalb,RS,0.08,0.0977777777777778,0.0177777777777778,0.0177777777777778,Increased
cid276,Pvalb,RS,0.07,0.0905555555555556,0.0205555555555555,0.0205555555555555,Increased
cid298,Pvalb,RS,0.00777777777777778,0.00444444444444444,-0.00333333333333333,-0.00333333333333333,Decreased
cid317,Pvalb,RS,0.0711111111111111,0.107777777777778,0.0366666666666667,0.0366666666666667,Increased
cid344,Pvalb,RS,0.159444444444444,0.123888888888889,-0.0355555555555555,-0.0355555555555555,Decreased
cid352,Pvalb,RS,0.0644444444444444,0.132222222222222,0.0677777777777778,0.0677777777777778,Increased
cid356,Pvalb,RS,0.175,0.258333333333333,0.0833333333333334,0.0833333333333334,Increased
cid357,Pvalb,RS,0.0905555555555556,0.116666666666667,0.0261111111111111,0.0261111111111111,Increased
cid363,Pvalb,RS,0.0727777777777778,0.0972222222222222,0.0244444444444444,0.0244444444444444,Increased
cid368,Pvalb,RS,0.0344444444444444,0.06,0.0255555555555556,0.0255555555555556,Increased
cid15,Pvalb,RS,0.0338888888888889,0.0244444444444444,-0.00944444444444445,-0.00944444444444445,Decreased
cid18,Pvalb,RS,0.0238888888888889,0.0188888888888889,-0.005,-0.005,Decreased
cid21,Pvalb,RS,0.0333333333333333,0.025,-0.00833333333333333,-0.00833333333333333,Decreased
cid24,Pvalb,RS,0.0266666666666667,0.0227777777777778,-0.00388888888888889,-0.00388888888888889,Decreased
cid74,Pvalb,RS,0.0316666666666667,0.0333333333333333,0.00166666666666666,0.00166666666666666,Increased
cid150,Pvalb,RS,0.0433333333333333,0.0261111111111111,-0.0172222222222222,-0.0172222222222222,Decreased
cid197,Pvalb,RS,0.0983333333333333,0.125555555555556,0.0272222222222222,0.0272222222222222,Increased
cid200,Pvalb,RS,7.22444444444444,7.17555555555556,-0.0488888888888885,-0.0488888888888885,Decreased
cid209,Pvalb,RS,0.296666666666667,0.333888888888889,0.0372222222222222,0.0372222222222222,Increased
cid214,Pvalb,RS,0.00888888888888889,0.0183333333333333,0.00944444444444444,0.00944444444444444,Increased
cid216,Pvalb,RS,0.06,0.102777777777778,0.0427777777777778,0.0427777777777778,Increased
cid218,Pvalb,RS,0.883333333333333,0.972222222222222,0.0888888888888889,0.0888888888888889,Increased
cid225,Pvalb,RS,0.0511111111111111,0.0566666666666667,0.00555555555555555,0.00555555555555555,Increased
cid228,Pvalb,RS,0.0661111111111111,0.103333333333333,0.0372222222222222,0.0372222222222222,Increased
cid238,Pvalb,RS,0.0377777777777778,0.0338888888888889,-0.00388888888888889,-0.00388888888888889,Decreased
cid240,Pvalb,RS,0.0172222222222222,0.0238888888888889,0.00666666666666667,0.00666666666666667,Increased
cid242,Pvalb,RS,0.0366666666666667,0.0388888888888889,0.00222222222222222,0.00222222222222222,Increased
cid252,Pvalb,RS,0.0983333333333333,0.213888888888889,0.115555555555556,0.115555555555556,Increased
cid269,Pvalb,RS,0.02,0.0238888888888889,0.00388888888888889,0.00388888888888889,Increased
cid283,Pvalb,RS,0.0122222222222222,0.0133333333333333,0.00111111111111111,0.00111111111111111,Increased
cid286,Pvalb,RS,0.112777777777778,0.0666666666666667,-0.0461111111111111,-0.0461111111111111,Decreased
cid288,Pvalb,RS,0.0805555555555556,0.0927777777777778,0.0122222222222222,0.0122222222222222,Increased
cid293,Pvalb,RS,0.0638888888888889,0.135,0.0711111111111111,0.0711111111111111,Increased
cid307,Pvalb,RS,0.0588888888888889,0.1,0.0411111111111111,0.0411111111111111,Increased
cid314,Pvalb,RS,0.0222222222222222,0.0238888888888889,0.00166666666666667,0.00166666666666667,Increased
